axis;index;value
vertical_x;1109;25
vertical_x;1110;25
vertical_x;1111;4
vertical_x;1112;2
vertical_x;1113;2
vertical_x;1114;0
vertical_x;1115;0
vertical_x;1116;2
vertical_x;1117;2
vertical_x;1118;4
vertical_x;1119;25
vertical_x;1120;25
vertical_x;1121;25
vertical_x;1122;25
vertical_x;1123;4
vertical_x;1124;2
vertical_x;1125;2
vertical_x;1126;2
vertical_x;1127;0
vertical_x;1128;2
vertical_x;1129;2
vertical_x;1130;2
vertical_x;1131;25
vertical_x;1132;25
vertical_x;1133;25
vertical_x;1134;25
vertical_x;1135;5
vertical_x;1136;3
vertical_x;1137;3
vertical_x;1138;3
vertical_x;1139;1
vertical_x;1140;1
vertical_x;1141;1
vertical_x;1142;1
vertical_x;1143;3
vertical_x;1144;3
vertical_x;1145;3
vertical_x;1146;25
vertical_x;1147;25
vertical_x;1148;26
vertical_x;1149;26
vertical_x;1150;6
vertical_x;1151;6
vertical_x;1152;8
vertical_x;1153;9
vertical_x;1154;0
vertical_x;1155;2
vertical_x;1156;2
vertical_x;1157;2
vertical_x;1158;4
vertical_x;1159;25
vertical_x;1160;25
vertical_x;1161;25
vertical_x;1162;25
vertical_x;1163;2
vertical_x;1164;2
vertical_x;1165;2
vertical_x;1166;0
vertical_x;1167;0
vertical_x;1168;2
vertical_x;1169;9
vertical_x;1170;4
vertical_x;1171;4
vertical_x;1172;3
vertical_x;1173;5
vertical_x;1174;5
vertical_x;1175;6
vertical_x;1176;7
vertical_x;1177;8
vertical_x;1178;11
vertical_x;1179;15
vertical_x;1180;22
vertical_x;1181;18
vertical_x;1182;14
vertical_x;1183;8
